Date,Bitcoin
08/2011,10000
09/2011,6025
10/2011,4125
11/2011,3987.5
12/2011,5725
01/2012,6625
02/2012,6237.5
03/2012,6125
04/2012,6250
05/2012,6462.5
06/2012,8262.500000000002
07/2012,11600
08/2012,12700
09/2012,15275
10/2012,13749.999999999998
11/2012,15537.5
12/2012,16550
01/2013,25575
02/2013,41912.5
03/2013,120187.5
04/2013,174850
05/2013,159887.5
06/2013,111912.5
07/2013,122850
08/2013,160000
09/2013,157812.5
10/2013,254424.99999999994
11/2013,1399400
12/2013,915000
01/2014,1003750
02/2014,689862.5
03/2014,568537.5
04/2014,561062.5
05/2014,784750
06/2014,801387.5
07/2014,727550
08/2014,598800
09/2014,488862.49999999994
10/2014,422487.50000000006
11/2014,471262.5
12/2014,401250
01/2015,271125
02/2015,316837.5
03/2015,305300
04/2015,295250
05/2015,286137.5
06/2015,328125
07/2015,355412.4999999999
08/2015,287325
09/2015,295250
10/2015,387725
11/2015,470887.5
12/2015,538612.5
01/2016,460612.5
02/2016,544037.5
03/2016,518325.00000000006
04/2016,560462.5
05/2016,664800
06/2016,834937.5
07/2016,779787.5
08/2016,713437.5
09/2016,760287.5
10/2016,871262.5
11/2016,927574.9999999999
12/2016,1207875
01/2017,1204987.5
02/2017,1489012.5
03/2017,1337887.5
04/2017,1687762.5
05/2017,2872512.5000000005
06/2017,3081862.4999999995
07/2017,3569762.5
08/2017,5917825
09/2017,5407612.5
10/2017,8042762.5
11/2017,12434587.5
12/2017,17350000
01/2018,12686250
02/2018,12893625
03/2018,8660775
04/2018,11552712.5
05/2018,9365350
06/2018,7982137.5
07/2018,9656787.5
08/2018,8771687.5
09/2018,8247262.500000002
10/2018,7879087.500000001
11/2018,4963825
12/2018,4616625.000000001
01/2019,4266387.5
02/2019,4739200
03/2019,5120100
04/2019,6586250.000000001
05/2019,10684000
06/2019,13450125
07/2019,12606675
08/2019,11992687.5
09/2019,10373062.5
10/2019,11437587.499999998
11/2019,9438337.5
12/2019,8960450
01/2020,11659812.5
02/2020,10659675
03/2020,8026425
04/2020,10784150
05/2020,11807737.5
06/2020,11416199.999999998
07/2020,14195924.999999998
08/2020,14568750
09/2020,13472775
10/2020,17270100
11/2020,24625237.5
12/2020,36240987.5
01/2021,41426725
02/2021,56551200
03/2021,73478225
04/2021,72219087.5
05/2021,46676762.50000001
06/2021,43796537.50000001
07/2021,51862662.5
08/2021,58945112.49999999
09/2021,54793037.5
10/2021,76699300
11/2021,71217650
12/2021,57767962.5
01/2022,48114900
02/2022,53973725.00000001
03/2022,56896587.49999999
04/2022,47049750
05/2022,39703450
06/2022,24906112.5
07/2022,29153162.5
08/2022,25073750
09/2022,24281250
10/2022,25622500
11/2022,21462500
12/2022,20660000
01/2023,28908750
02/2023,28919999.999999996
03/2023,35595000
04/2023,36543750
05/2023,34023749.99999999
06/2023,38086250
07/2023,36538750
08/2023,32415000
09/2023,33707500
10/2023,43326250
11/2023,47148750
12/2023,52822500
01/2024,53197500
02/2024,76451250
03/2024,89106250
04/2024,75790000
05/2024,84346250
06/2024,78345000
07/2024,80765000
08/2024,73708750
09/2024,79127500
10/2024,87788750
11/2024,120551250
12/2024,116726250
01/2025,128015000
